"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"26","Hematopoietic Stem cells 1","B cells 1","FGF5","FGFR1",1.93307534395145e-08,0,"FGF5_FGFR1","FGF5 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"27","B cells 1","Hematopoietic Stem cells 1","FGF5","FGFR1",3.16077591233749e-08,0,"FGF5_FGFR1","FGF5 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"28","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","FGF5","FGFR1",6.56001259308496e-07,0,"FGF5_FGFR1","FGF5 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"29","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","FGF5","FGFR1",7.35988107298842e-09,0,"FGF5_FGFR1","FGF5 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"30","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","FGF5","FGFR1",3.35185435946514e-09,0,"FGF5_FGFR1","FGF5 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"31","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","FGF5","FGFR1",4.91094955076347e-09,0,"FGF5_FGFR1","FGF5 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"32","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","FGF5","FGFR1",2.35593827461805e-09,0.04,"FGF5_FGFR1","FGF5 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"33","B cells 1","B cells 1","PDGFA","PDGFRB",4.77080676499984e-06,0,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"34","Hematopoietic Stem cells 1","B cells 1","PDGFA","PDGFRB",1.72118694939311e-06,0,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"35","Hematopoietic Stem cells 3","B cells 1","PDGFA","PDGFRB",8.8493383027313e-07,0,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"36","B cells 1","B cells 1","VEGFA","FLT1",1.67760375682601e-08,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"37","Hematopoietic Stem cells 1","B cells 1","VEGFA","FLT1",7.54716933286522e-09,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"38","B cells 1","Hematopoietic Stem cells 1","VEGFA","FLT1",7.24603767924059e-09,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"39","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","VEGFA","FLT1",3.25983254009628e-09,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"40","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","VEGFA","FLT1",1.21310230608004e-09,0.02,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"41","B cells 1","B cells 1","VEGFB","FLT1",1.45187145867495e-08,0,"VEGFB_VEGFR1","VEGFB - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"42","Hematopoietic Stem cells 1","B cells 1","VEGFB","FLT1",6.27103705118952e-09,0,"VEGFB_VEGFR1","VEGFB - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"43","B cells 1","Hematopoietic Stem cells 1","VEGFB","FLT1",6.27103705118950e-09,0,"VEGFB_VEGFR1","VEGFB - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"44","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","VEGFB","FLT1",2.70863549001865e-09,0,"VEGFB_VEGFR1","VEGFB - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"45","B cells 1","B cells 1","PGF","FLT1",1.10610950771939e-08,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"46","Hematopoietic Stem cells 1","B cells 1","PGF","FLT1",4.90497519071873e-09,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"47","B cells 1","Hematopoietic Stem cells 1","PGF","FLT1",4.77759493489959e-09,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"48","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","PGF","FLT1",2.11859534805939e-09,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"49","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","PGF","FLT1",8.2350147485608e-10,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"50","Hematopoietic Stem cells 1","B cells 1","IGF2","IGF2R",1.16219945323901e-08,0,"IGF2_IGF2R","IGF2 - IGF2R","IGF","Secreted Signaling","PMID: 14604834"
"51","B cells 1","Hematopoietic Stem cells 1","IGF2","IGF2R",1.2472846293469e-08,0,"IGF2_IGF2R","IGF2 - IGF2R","IGF","Secreted Signaling","PMID: 14604834"
"52","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","IGF2","IGF2R",6.1244617682073e-09,0,"IGF2_IGF2R","IGF2 - IGF2R","IGF","Secreted Signaling","PMID: 14604834"
"53","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","IGF2","IGF2R",2.28408792581158e-09,0,"IGF2_IGF2R","IGF2 - IGF2R","IGF","Secreted Signaling","PMID: 14604834"
"54","Hematopoietic Stem cells 1","B cells 1","IGF2","ITGA6_ITGB4",4.19096779792587e-07,0,"IGF2_ITGA6_ITGB4","IGF2 - (ITGA6+ITGB4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464"
"55","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","IGF2","ITGA6_ITGB4",1.4720763384061e-07,0,"IGF2_ITGA6_ITGB4","IGF2 - (ITGA6+ITGB4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464"
"56","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","IGF2","ITGA6_ITGB4",2.53644696761533e-07,0,"IGF2_ITGA6_ITGB4","IGF2 - (ITGA6+ITGB4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464"
"57","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","IGF2","ITGA6_ITGB4",7.42759242739234e-08,0,"IGF2_ITGA6_ITGB4","IGF2 - (ITGA6+ITGB4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464"
"58","Hematopoietic Stem cells 3","B cells 1","MIF","CD74_CXCR4",0.00285808502401795,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"59","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","MIF","CD74_CXCR4",0.000904481159559421,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"60","B cells 1","Hematopoietic Stem cells 2","MIF","CD74_CXCR4",0.00617895068522388,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"61","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","MIF","CD74_CXCR4",0.00223905770425368,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"62","Hematopoietic Stem cells 2","Hematopoietic Stem cells 2","MIF","CD74_CXCR4",0.00378116170663472,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"63","Hematopoietic Stem cells 3","Hematopoietic Stem cells 2","MIF","CD74_CXCR4",0.00191955537945588,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"64","Hematopoietic Stem cells 3","Hematopoietic Stem cells 3","MIF","CD74_CXCR4",0.000426574410041351,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"65","Hematopoietic Stem cells 3","B cells 1","MIF","CD74_CD44",0.00102045965170698,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"66","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","MIF","CD74_CD44",0.000358394134561983,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"67","B cells 1","Hematopoietic Stem cells 2","MIF","CD74_CD44",0.00202877432325172,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"68","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","MIF","CD74_CD44",0.000735163176208937,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"69","Hematopoietic Stem cells 2","Hematopoietic Stem cells 2","MIF","CD74_CD44",0.00124145276761624,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"70","Hematopoietic Stem cells 3","Hematopoietic Stem cells 2","MIF","CD74_CD44",0.000644452608489189,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"71","Hematopoietic Stem cells 3","Hematopoietic Stem cells 3","MIF","CD74_CD44",0.000188886414098969,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
