"","source","target","pathway_name","prob","pval"
"81","Hematopoietic Stem cells 1","B cells 1","TRAIL",1.7399639243576e-08,0
"82","Hematopoietic Stem cells 1","B cells 1","VEGF",1.87231815747735e-08,0
"83","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","APP",2.51427286604125e-05,0
"84","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","BAFF",5.96932084442319e-07,0
"85","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","BTLA",4.20177934168067e-09,0
"86","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","CD23",8.13489335403716e-08,0.02
"87","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","CD99",0.00339697128842316,0
"88","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","COLLAGEN",3.4845233813162e-07,0
"89","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","EPHA",2.02245229898574e-06,0
"90","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","EPHB",1.2147598509383e-07,0
"91","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","FGF",6.56001259308496e-07,0
"92","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","GALECTIN",5.28142486456095e-05,0
"93","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","GP1BA",2.50837496618838e-09,0.02
"94","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","ICAM",3.2638663321251e-07,0.04
"95","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","IGF",1.53332095608817e-07,0
"96","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","IL1",0.000190441890160974,0
"97","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","LT",2.99610021916966e-05,0
"98","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","MIF",9.27784791718296e-06,0
"99","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","MK",0.00113217199667538,0
"100","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","NPR2",1.03492576409478e-09,0.02
"101","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","SEMA4",1.78669488388533e-07,0
"102","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","TGFb",1.93068003443545e-05,0
"103","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","TNF",5.60122635980299e-05,0
"104","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","TRAIL",6.98215927888176e-09,0
"105","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","VEGF",8.08706337817432e-09,0
"106","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","APP",4.8493458145443e-05,0
"107","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","BAFF",1.11630215737604e-08,0
"108","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","BTLA",2.84609755975355e-09,0
"109","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","CD23",1.31556229350541e-07,0.005
"110","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","COLLAGEN",5.85982867597496e-07,0
"111","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","EPHA",2.21012448273414e-09,0
"112","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","FGF",4.91094955076347e-09,0
"113","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","IGF",2.53644696761533e-07,0
"114","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","MIF",0.00297422088046262,0
"115","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","MK",0.00190325396601867,0
"116","Hematopoietic Stem cells 1","Hematopoietic Stem cells 2","SEMA4",3.01175529305057e-07,0
"117","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","APP",1.35599919998596e-05,0
"118","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","BAFF",3.74053107011777e-09,0
"119","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","CD23",7.06059917045688e-08,0
"120","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","CD99",0.00175137966081332,0
"121","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","COLLAGEN",1.79658653864336e-07,0
"122","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","EPHA",2.50730153121484e-09,0.03
"123","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","EPHB",3.70685181569214e-08,0.04
"124","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","FGF",2.35593827461805e-09,0.04
"125","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","GALECTIN",2.72305136511614e-05,0
"126","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","GP1BA",1.98793976863027e-09,0
"127","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","ICAM",4.79773753086605e-05,0.004
"128","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","IGF",7.6560012199735e-08,0
"129","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","MK",0.000699087579772251,0
"130","Hematopoietic Stem cells 1","Hematopoietic Stem cells 3","SEMA4",9.18904041711799e-08,0
"131","Hematopoietic Stem cells 2","B cells 1","APP",0.000112109283359574,0.04
"132","Hematopoietic Stem cells 2","B cells 1","GALECTIN",0.000717354881950593,0.02
"133","Hematopoietic Stem cells 2","B cells 1","IL1",0.000248973955093658,0.025
"134","Hematopoietic Stem cells 2","B cells 1","MHC-I",0.00764521830098434,0
"135","Hematopoietic Stem cells 2","B cells 1","MHC-II",0.0315967324989572,0
"136","Hematopoietic Stem cells 2","B cells 1","MIF",3.96593835754197e-05,0
"137","Hematopoietic Stem cells 2","B cells 1","TGFb",0.000111367111829201,0
"138","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","BAFF",1.11633006228509e-08,0
"139","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","BTLA",2.84609755975355e-09,0
"140","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","EPHA",1.9096556130255e-08,0
"141","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","FGF",7.35988107298842e-09,0
"142","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","GALECTIN",8.9272527554949e-05,0
"143","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","ICAM",4.06941598077815e-07,0.04
"144","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","LT",5.60168630230692e-05,0
"145","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","MHC-I",0.000786123285070279,0.04
"146","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","MHC-II",0.00713740859174165,0.0025
"147","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","MIF",1.56670504553106e-05,0
"148","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","SEMA4",2.29452968015059e-10,0
"149","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","TGFb",3.19181313452828e-05,0.00333333333333333
"150","Hematopoietic Stem cells 2","Hematopoietic Stem cells 2","APP",7.32609647669086e-05,0
"151","Hematopoietic Stem cells 2","Hematopoietic Stem cells 2","MHC-II",0.0130703836768579,0
"152","Hematopoietic Stem cells 2","Hematopoietic Stem cells 2","MIF",0.00502261447425095,0
"153","Hematopoietic Stem cells 2","Hematopoietic Stem cells 3","GALECTIN",4.60280481612192e-05,0
"154","Hematopoietic Stem cells 2","Hematopoietic Stem cells 3","ICAM",3.41028664211486e-05,0.01
"155","Hematopoietic Stem cells 2","Hematopoietic Stem cells 3","MHC-II",0.00112460650334979,0
"156","Hematopoietic Stem cells 3","B cells 1","APP",7.30849169353376e-05,0
"157","Hematopoietic Stem cells 3","B cells 1","GALECTIN",0.000218804252631808,0.02
"158","Hematopoietic Stem cells 3","B cells 1","ICAM",3.01265985157255e-05,0.025
"159","Hematopoietic Stem cells 3","B cells 1","ITGB2",0.00039847511346703,0.005
"160","Hematopoietic Stem cells 3","B cells 1","MIF",0.00389935726817248,0
"161","Hematopoietic Stem cells 3","B cells 1","MK",9.76197610484256e-05,0
"162","Hematopoietic Stem cells 3","B cells 1","PDGF",8.8493383027313e-07,0
"163","Hematopoietic Stem cells 3","B cells 1","TGFb",3.58107251233345e-05,0
"164","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","APP",2.47633699217454e-05,0
"165","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","BAFF",3.74062457452981e-09,0
"166","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","CD99",0.00175137966081332,0
"167","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","EPHA",1.28043770534158e-08,0
"168","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","EPHB",8.83020699477885e-11,0.04
"169","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","FGF",3.35185435946514e-09,0
